bacdive_id	strain_number_header	species	Genome seq. accession number	Genome Sequence database
159652	DSM 105287, LMG 29911	Abditibacterium utsteinense	GCA_002973605	ncbi
219	DSM 9849, ATCC 49176, CIP 103242, SC 10	Abiotrophia defectiva	GCA_000160075	ncbi
164352	JCM 32769, KCTC 15747	Absicoccus porci	GCA_003725415	ncbi
170183	MCCC 1K06012, KCTC 82823	Abyssalbus ytuae	GCA_022807975	ncbi
159837	KCTC 52933, MCCC 1K03450, JCM 32025	Abyssibacter profundi	GCA_003151135	ncbi
132558	DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296	Abyssicoccus albus	GCA_003815035	ncbi
164056	JCM 31420, KCTC 15524	Abyssisolibacter fermentans	GCA_001559865	ncbi
132478	DSM 29592, JCM 30920	Vallitalea guaymasensis	GCA_003313305	ncbi
24718	DSM 28897, KCTC 12899, NBRC 101209	Acanthopleuribacter pedis	GCA_017377855	ncbi
7517	DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300	Acaricomes phytoseiuli	GCA_000376245	ncbi
160325	DSM 104038, KCTC 52622	Acerihabitans sp.	GCA_010131535	ncbi
169741	DSM 110981	Acetatifactor aquisgranensis	GCA_943193215	ncbi
18089	DSM 23669, ATCC BAA 2170	Acetatifactor muris	GCA_024623325	ncbi
164491	JCM 33270, CICC 6269	Acetilactobacillus jinshanensis	GCA_004359375	ncbi
6338	DSM 5522, ATCC 43876	Acetitomaculum ruminis	GCA_900112085	ncbi
2838	DSM 17461, VKM B-2349	Clostridium alkalicellulosi	GCA_008125075	ncbi
17674	DSM 1870, ATCC 33288, NRC 2248	Acetivibrio cellulolyticus	GCA_000179595	ncbi
2853	DSM 19732, NBRC 101661, EBR 45	Acetivibrio clariflavus	GCA_000237085	ncbi
157972	DSM 107956, CECT 9704	Acetivibrio mesophilus	GCA_004102745	ncbi
132679	DSM 101079, CECT 9155	Acetivibrio saccincola	GCA_002844395	ncbi
164132	JCM 31827, DSM 104321	Acetivibrio saccincola	GCA_002969215	ncbi
2827	DSM 16021, IAM 15070, JCM 21531, NBRC 103399	Acetivibrio straminisolvens	GCA_000521465	ncbi
2729	DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372	Acetivibrio thermocellus	GCA_000015865	ncbi
2728	DSM 1313	Acetivibrio thermocellus	GCA_000184925	ncbi
2730	DSM 2360, JCM 9323, ATCC 35609	Acetivibrio thermocellus	GCA_001692755	ncbi
22965	DSM 25991	Acetivibrio thermocellus	GCA_000255575	ncbi
22966	DSM 25992	Acetivibrio thermocellus	GCA_000255615	ncbi
22966	DSM 25992	Acetivibrio thermocellus	GCA_002564085	ncbi
168331	ATCC 35199	Acetoanaerobium noterae	GCA_900168025	ncbi
131392	DSM 27512, JCM 19400	Acetoanaerobium pronyense	GCA_017874355	ncbi
2717	DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485	Acetoanaerobium sticklandii	GCA_000196455	ncbi
2	DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828	Acetobacter aceti	GCA_000963905	ncbi
2	DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828	Acetobacter aceti	GCA_004341595	ncbi
135985	CIP 102998, IAM 1802, IFO 3281, JCM 20268, LMG 1512, NBRC 3281	Acetobacter aceti	GCA_002723895	ncbi
162842	JCM 20276, IAM 1814, LMG 1372, LMG 1695	Acetobacter aceti	GCA_014218315	ncbi
163302	JCM 25076, LMG 1590	Acetobacter pasteurianus	GCA_001766235	ncbi
12	DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461	Acetobacter cerevisiae	GCA_001580535	ncbi
15	DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380	Acetobacter cibinongensis	GCA_000963925	ncbi
15	DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380	Acetobacter cibinongensis	GCA_007989305	ncbi
167133	LMG 1627, NCIMB 8945	Acetobacter conturbans	GCA_011516755	ncbi
10	DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751	Acetobacter estunensis	GCA_011516945	ncbi
23	DSM 19596, LMG 24244	Acetobacter fabarum	GCA_011516925	ncbi
166754	NCIMB 8956, LMG 1636	Acetobacter fallax	GCA_011516735	ncbi
22	DSM 18895, LMG 23848	Acetobacter ghanensis	GCA_011516865	ncbi
18	DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824	Acetobacter indonesiensis	GCA_000963945	ncbi
