id,target_prot,seqid,fam_cluster,padloc_system,padloc_gene,deffinder_system,deffinder_gene,start,end,rel_start,rel_end,strand,flip_strand,product,locus_tag,assembly_accession,species_taxid,kingdom,phylum,class,order,family,genus,species,linecolor,fillcolor
MDO4855323.1,MDO4855339.1,JAUMVI010000006.1,41,,,,,33675,35273,-19043,-17445,+,+,cation:proton antiporter,Q3978_02025,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[48.93640434746056, 19.93612269928842, 90.73415944840183, 255]","[97.87280869492112, 39.87224539857684, 181.46831889680365, 255]"
MDO4855324.1,MDO4855339.1,JAUMVI010000006.1,31,,,,,35396,37228,-17322,-15490,+,+,translation elongation factor 4,Q3978_02030,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[50.6568848212568, 13.949338775702547, 89.5054334134344, 255]","[101.3137696425136, 27.898677551405093, 179.0108668268688, 255]"
MDO4855325.1,MDO4855339.1,JAUMVI010000006.1,46,,,,,37335,38510,-15383,-14208,+,+,phosphoglycerate dehydrogenase,Q3978_02035,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[29.855666813859525, 73.89594587911584, 97.19899463021446, 255]","[59.71133362771905, 147.79189175823169, 194.39798926042891, 255]"
MDO4855326.1,MDO4855339.1,JAUMVI010000006.1,34,,,,,38545,39021,-14173,-13697,-,-,6%2C7-dimethyl-8-ribityllumazine synthase,Q3978_02040,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[108.0210101276299, 105.04159259704555, 77.46266722558468, 255]","[216.0420202552598, 210.0831851940911, 154.92533445116936, 255]"
MDO4855327.1,MDO4855339.1,JAUMVI010000006.1,25,,,,,39026,40207,-13692,-12511,-,-,3%2C4-dihydroxy-2-butanone-4-phosphate synthase,Q3978_02045,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[112.66938820855664, 98.01386433264176, 71.89335459239558, 255]","[225.33877641711328, 196.02772866528352, 143.78670918479116, 255]"
MDO4855328.1,MDO4855339.1,JAUMVI010000006.1,16,,,,,40194,40802,-12524,-11916,-,-,riboflavin synthase,Q3978_02050,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[42.21611573547356, 42.15729530512139, 94.56077434968991, 255]","[84.43223147094712, 84.31459061024277, 189.12154869937982, 255]"
MDO4855329.1,MDO4855339.1,JAUMVI010000006.1,19,,,,,40787,41860,-11931,-10858,-,-,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,Q3978_02055,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[81.14754455574219, 118.48448221578323, 95.58908693162896, 255]","[162.29508911148437, 236.96896443156646, 191.1781738632579, 255]"
MDO4855330.1,MDO4855339.1,JAUMVI010000006.1,9,,,,,42228,42683,-10490,-10035,-,-,IS200/IS605 family transposase,Q3978_02060,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[38.47151297410953, 53.19547935794847, 95.95040928271898, 255]","[76.94302594821906, 106.39095871589694, 191.90081856543796, 255]"
MDO4855331.1,MDO4855339.1,JAUMVI010000006.1,5,,,,,42767,44101,-9951,-8617,+,+,RNA-guided endonuclease TnpB family protein,Q3978_02065,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[44.42318975199889, 98.16164036695504, 99.5903323422451, 255]","[88.84637950399778, 196.32328073391008, 199.1806646844902, 255]"
MDO4855332.1,MDO4855339.1,JAUMVI010000006.1,17,,,,,44443,45615,-8275,-7103,+,+,cysteine desulfurase family protein,Q3978_02070,GCA_030530255.1,1450649,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae,"[100.84144788848097, 112.56801838642647, 84.35374322802248, 255]","[201.68289577696194, 225.13603677285295, 168.70748645604496, 255]"
