system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,CP031195.1,cas_type_II-A,AXH06898.1,PDLC01580,mkCas0193,Cas9,0,0,0.997,0.998,339567,343703,+,-,19,37,"PDLC00975,cas9_maka_4_II, 1, 1.2e-124, 0.848, 0.825 | PDLC01460,COG3513, 1, 6e-148, 0.925, 0.926 | PDLC01580,mkCas0193, 1, 0, 0.997, 0.998 | PDLC00973,cas_Csn1, 1, 4e-181, 0.756, 0.976 | PDLC00973,cas_Csn1, 2, 49, 0.073, 0.125 | PDLC01104,icity0002, 1, 5.3e-05, 0.994, 0.879 | PDLC01256,cd09643, 1, 3.4e-167, 0.756, 0.983 | PDLC01256,cd09643, 2, 26, 0.026, 0.051","PDLC01580, mkCas0193, 0, 0.997, 0.998 | PDLC00973, cas_Csn1, 4e-181, 0.756, 0.976 | PDLC01256, cd09643, 3.4e-167, 0.756, 0.983 | PDLC01460, COG3513, 6e-148, 0.925, 0.926 | PDLC00975, cas9_maka_4_II, 1.2e-124, 0.848, 0.825"
1,CP031195.1,cas_type_II-A,AXH06899.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,5.199999999999999e-96,5.6999999999999984e-96,0.967,0.836,343909,344814,+,-,20,37,"PDLC02062,Cas1_II_WP_122951193.1, 1, 8.6e-19, 0.691, 0.726 | PDLC02061,Cas1_II_WP_078484493.1, 1, 5.7e-96, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 5.7e-96, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 8.6e-19, 0.691, 0.726"
1,CP031195.1,cas_type_II-A,AXH06900.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,9.9e-45,1.1e-44,0.98,0.701,344792,345097,+,-,21,37,"PDLC02071,Cas2_II_WP_086428212.1, 1, 4.4e-29, 0.921, 0.969 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 1.1e-44, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 5.7e-32, 0.644, 0.903 | PDLC02069,Cas2_II_WP_178005650.1, 1, 8.5e-31, 0.861, 0.669","PDLC02068, Cas2_II_WP_167337171.1, 1.1e-44, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 5.7e-32, 0.644, 0.903 | PDLC02069, Cas2_II_WP_178005650.1, 8.5e-31, 0.861, 0.669 | PDLC02071, Cas2_II_WP_086428212.1, 4.4e-29, 0.921, 0.969 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
1,CP031195.1,cas_type_II-A,AXH06901.1,PDLC01380,cd12218,Csn2,1.4999999999999997e-78,1.6999999999999998e-78,0.982,0.995,345094,345765,+,-,22,37,"PDLC02127,Csn2_WP_092199373.1, 1, 1.3e-07, 0.982, 0.991 | PDLC01023,cas_Csn2, 1, 3.1e-38, 0.982, 0.995 | PDLC01380,cd12218, 1, 1.7e-78, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 2.9e-77, 0.991, 0.995 | PDLC02138,Csn2_WP_178467070.1, 1, 0.0024, 0.892, 0.882 | PDLC02132,Csn2_WP_007147955.1, 1, 1.4e-21, 0.969, 0.964 | PDLC01371,cd09758, 1, 1.1e-07, 0.906, 0.904 | PDLC02139,Csn2_WP_057888294.1, 1, 7.8e-08, 0.731, 0.695 | PDLC01257,cd09644, 1, 9.3e-13, 0.978, 0.986 | PDLC02141,Csn2_WP_150280658.1, 1, 5.9e-18, 0.982, 0.977 | PDLC02147,Csn2_WP_022791452.1, 1, 1.1e-07, 0.892, 0.887 | PDLC02119,Csn2_WP_115483433.1, 1, 1.7e-17, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1.2e-44, 0.996, 0.995 | PDLC01180,icity0117, 1, 1.1e-06, 0.888, 0.887 | PDLC01648,pfam09711, 1, 4.1e-08, 0.794, 0.966 | PDLC02121,Csn2_WP_159082072.1, 1, 3e-09, 0.906, 0.904","PDLC01380, cd12218, 1.7e-78, 0.982, 0.995 | PDLC02123, Csn2_WP_164905698.1, 2.9e-77, 0.991, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.2e-44, 0.996, 0.995 | PDLC01023, cas_Csn2, 3.1e-38, 0.982, 0.995 | PDLC02132, Csn2_WP_007147955.1, 1.4e-21, 0.969, 0.964"
2,JAUMVI010000006.1,cas_type_II-A,MDO4855339.1,PDLC01580,mkCas0193,Cas9,0,0,0.9,0.91,52718,56860,+,-,17,20,"PDLC00975,cas9_maka_4_II, 1, 1.4e-124, 0.754, 0.708 | PDLC01460,COG3513, 1, 2.1e-148, 0.928, 0.93 | PDLC01580,mkCas0193, 1, 1.7e-56, 0.097, 0.1 | PDLC01580,mkCas0193, 2, 0, 0.9, 0.91 | PDLC00973,cas_Csn1, 1, 1.8e-178, 0.755, 0.973 | PDLC00973,cas_Csn1, 2, 48, 0.03, 0.051 | PDLC01104,icity0002, 1, 6.8e-10, 0.996, 0.879 | PDLC01256,cd09643, 1, 1.6e-168, 0.755, 0.982","PDLC01580, mkCas0193, 0, 0.9, 0.91 | PDLC00973, cas_Csn1, 1.8e-178, 0.755, 0.973 | PDLC01256, cd09643, 1.6e-168, 0.755, 0.982 | PDLC01460, COG3513, 2.1e-148, 0.928, 0.93 | PDLC00975, cas9_maka_4_II, 1.4e-124, 0.754, 0.708"
2,JAUMVI010000006.1,cas_type_II-A,MDO4855340.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.2e-97,1.2999999999999998e-97,0.967,0.836,57065,57970,+,-,18,20,"PDLC02062,Cas1_II_WP_122951193.1, 1, 1.4e-22, 0.824, 0.874 | PDLC02061,Cas1_II_WP_078484493.1, 1, 1.3e-97, 0.967, 0.836","PDLC02061, Cas1_II_WP_078484493.1, 1.3e-97, 0.967, 0.836 | PDLC02062, Cas1_II_WP_122951193.1, 1.4e-22, 0.824, 0.874"
2,JAUMVI010000006.1,cas_type_II-A,MDO4855341.1,PDLC02068,Cas2_II_WP_167337171.1,Cas2_II,7.299999999999999e-45,7.899999999999999e-45,0.98,0.701,57948,58253,+,-,19,20,"PDLC02071,Cas2_II_WP_086428212.1, 1, 8.6e-29, 0.911, 0.959 | PDLC02073,Cas2_II_WP_029776276.1, 1, 2.1e-25, 0.416, 0.857 | PDLC02068,Cas2_II_WP_167337171.1, 1, 7.9e-45, 0.98, 0.701 | PDLC02072,Cas2_II_WP_038817100.1, 1, 4.5e-33, 0.634, 0.889 | PDLC02069,Cas2_II_WP_178005650.1, 1, 1.1e-30, 0.891, 0.708","PDLC02068, Cas2_II_WP_167337171.1, 7.9e-45, 0.98, 0.701 | PDLC02072, Cas2_II_WP_038817100.1, 4.5e-33, 0.634, 0.889 | PDLC02069, Cas2_II_WP_178005650.1, 1.1e-30, 0.891, 0.708 | PDLC02071, Cas2_II_WP_086428212.1, 8.6e-29, 0.911, 0.959 | PDLC02073, Cas2_II_WP_029776276.1, 2.1e-25, 0.416, 0.857"
2,JAUMVI010000006.1,cas_type_II-A,MDO4855342.1,PDLC02123,Csn2_WP_164905698.1,Csn2,2.0999999999999998e-77,2.3999999999999995e-77,0.991,0.995,58250,58921,+,-,20,20,"PDLC02127,Csn2_WP_092199373.1, 1, 1.7e-07, 0.973, 0.982 | PDLC01023,cas_Csn2, 1, 6.7e-39, 0.982, 0.995 | PDLC01380,cd12218, 1, 1.9e-71, 0.982, 0.995 | PDLC02123,Csn2_WP_164905698.1, 1, 2.4e-77, 0.991, 0.995 | PDLC02132,Csn2_WP_007147955.1, 1, 2e-19, 0.964, 0.959 | PDLC01371,cd09758, 1, 3.1e-06, 0.87, 0.876 | PDLC02139,Csn2_WP_057888294.1, 1, 2.2e-07, 0.614, 0.584 | PDLC01257,cd09644, 1, 1.8e-13, 0.973, 0.982 | PDLC02141,Csn2_WP_150280658.1, 1, 4.6e-16, 0.964, 0.959 | PDLC02137,Csn2_WP_092874919.1, 1, 0.0014, 0.973, 0.982 | PDLC02147,Csn2_WP_022791452.1, 1, 1.8e-06, 0.924, 0.914 | PDLC02119,Csn2_WP_115483433.1, 1, 4.6e-20, 0.978, 0.986 | PDLC02124,Csn2_WP_017261328.1, 1, 1.7e-43, 0.991, 0.991 | PDLC01180,icity0117, 1, 3.1e-05, 0.883, 0.883 | PDLC01648,pfam09711, 1, 3.6e-07, 0.803, 0.977 | PDLC02121,Csn2_WP_159082072.1, 1, 7.1e-07, 0.852, 0.876","PDLC02123, Csn2_WP_164905698.1, 2.4e-77, 0.991, 0.995 | PDLC01380, cd12218, 1.9e-71, 0.982, 0.995 | PDLC02124, Csn2_WP_017261328.1, 1.7e-43, 0.991, 0.991 | PDLC01023, cas_Csn2, 6.7e-39, 0.982, 0.995 | PDLC02119, Csn2_WP_115483433.1, 4.6e-20, 0.978, 0.986"
3,NZ_AZEY01000105.1,cas_type_II-A,WP_057866106.1,PDLC01580,mkCas0193,Cas9,0,0,0.999,0.999,131108,135199,+,-,19,23,"PDLC00975,cas9_maka_4_II, 1, 9.8e-126, 0.847, 0.839 | PDLC01460,COG3513, 1, 3.3e-140, 0.898, 0.885 | PDLC01580,mkCas0193, 1, 0, 0.999, 0.999 | PDLC00973,cas_Csn1, 1, 3e-179, 0.746, 0.972 | PDLC01104,icity0002, 1, 0.0021, 0.996, 0.879 | PDLC01256,cd09643, 1, 1.7e-168, 0.75, 0.985 | PDLC01256,cd09643, 2, 110, 0.023, 0.044","PDLC01580, mkCas0193, 0, 0.999, 0.999 | PDLC00973, cas_Csn1, 3e-179, 0.746, 0.972 | PDLC01256, cd09643, 1.7e-168, 0.75, 0.985 | PDLC01460, COG3513, 3.3e-140, 0.898, 0.885 | PDLC00975, cas9_maka_4_II, 9.8e-126, 0.847, 0.839"
3,NZ_AZEY01000105.1,cas_type_II-A,WP_057866107.1,PDLC02061,Cas1_II_WP_078484493.1,Cas1_II,1.8e-105,1.9999999999999995e-105,0.977,0.845,135415,136320,+,-,20,23,"PDLC02062,Cas1_II_WP_122951193.1, 1, 7.1e-20, 0.704, 0.741 | PDLC02061,Cas1_II_WP_078484493.1, 1, 2e-105, 0.977, 0.845","PDLC02061, Cas1_II_WP_078484493.1, 2e-105, 0.977, 0.845 | PDLC02062, Cas1_II_WP_122951193.1, 7.1e-20, 0.704, 0.741"
