,MDO4855339.1,WP_167336629.1,WP_185910605.1,WP_081011477.1,WP_191668167.1,WP_057741369.1,WP_283574311.1,WP_065533057.1,WP_236945423.1,WP_234446804.1,WP_253196413.1,AXH06898.1,WP_291977926.1,WP_057866106.1,WP_261792749.1
MDO4855339.1,0.000000,0.361684,1.253224,1.142857,1.593220,1.597641,1.541131,1.587013,0.599596,0.611801,0.599434,0.565581,1.602094,1.494267,0.369416
WP_167336629.1,0.361684,0.000000,1.387255,1.773038,1.770604,1.771034,1.644090,1.717568,0.949309,0.630367,0.654106,0.623687,1.749658,1.672043,0.636276
WP_185910605.1,1.253224,1.387255,0.000000,2.189139,1.557124,1.565892,1.524173,1.436881,1.466488,1.388518,1.293349,1.250879,1.524841,1.491139,1.213210
WP_081011477.1,1.142857,1.773038,2.189139,0.000000,2.374753,2.531827,2.533742,2.335283,0.563682,1.476357,1.348416,1.293769,2.481781,2.332024,0.792453
WP_191668167.1,1.593220,1.770604,1.557124,2.374753,0.000000,1.121868,1.687668,0.575163,1.786136,1.793675,1.609436,1.609436,1.087640,1.177494,1.558140
WP_057741369.1,1.597641,1.771034,1.565892,2.531827,1.121868,0.000000,1.633952,1.028666,1.843609,1.800000,1.633113,1.623514,0.770243,1.251490,1.595020
WP_283574311.1,1.541131,1.644090,1.524173,2.533742,1.687668,1.633952,0.000000,1.618110,1.835575,1.708395,1.636724,1.584635,1.687248,1.745554,1.552258
WP_065533057.1,1.587013,1.717568,1.436881,2.335283,0.575163,1.028666,1.618110,0.000000,1.756204,1.763040,1.589077,1.561290,0.993478,1.166090,1.533931
WP_236945423.1,0.599596,0.949309,1.466488,0.563682,1.786136,1.843609,1.835575,1.756204,0.000000,0.525974,0.546085,0.513699,1.785820,1.717613,0.173435
WP_234446804.1,0.611801,0.630367,1.388518,1.476357,1.793675,1.800000,1.708395,1.763040,0.525974,0.000000,0.227032,0.248885,1.759342,1.685294,0.269127
WP_253196413.1,0.599434,0.654106,1.293349,1.348416,1.609436,1.633113,1.636724,1.589077,0.546085,0.227032,0.000000,0.219002,1.618421,1.541344,0.306276
AXH06898.1,0.565581,0.623687,1.250879,1.293769,1.609436,1.623514,1.584635,1.561290,0.513699,0.248885,0.219002,0.000000,1.613666,1.491720,0.277686
WP_291977926.1,1.602094,1.749658,1.524841,2.481781,1.087640,0.770243,1.687248,0.993478,1.785820,1.759342,1.618421,1.613666,0.000000,1.221437,1.557568
WP_057866106.1,1.494267,1.672043,1.491139,2.332024,1.177494,1.251490,1.745554,1.166090,1.717613,1.685294,1.541344,1.491720,1.221437,0.000000,1.491720
WP_261792749.1,0.369416,0.636276,1.213210,0.792453,1.558140,1.595020,1.552258,1.533931,0.173435,0.269127,0.306276,0.277686,1.557568,1.491720,0.000000
