sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
QOR70_CBASS_II_3	CBASS	CBASS_II	QOR70_RS04815	QOR70_RS04825	QOR70_RS04815,QOR70_RS04820,QOR70_RS04825	3	CBASS__Effector_2TM_SUa-2TM,CBASS__E2,CBASS__Cyclase_II
AOQ57_CAS_Class2-Subtype-II-A_4	CasFinder	CAS_Class2-Subtype-II-A	AOQ57_RS03915	AOQ57_RS03930	AOQ57_RS03915,AOQ57_RS03920,AOQ57_RS03925,AOQ57_RS03930	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
BEP11_CAS_Class2-Subtype-II-A_7	CasFinder	CAS_Class2-Subtype-II-A	BEP11_RS01355	BEP11_RS01380	BEP11_RS01355,BEP11_RS01360,BEP11_RS01365,BEP11_RS01380	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
BGV76_CAS_Class2-Subtype-II-A_12	CasFinder	CAS_Class2-Subtype-II-A	BGV76_01825	BGV76_01840	BGV76_01825,BGV76_01830,BGV76_01835,BGV76_01840	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
C1Y38_CAS_Class2-Subtype-II-A_15	CasFinder	CAS_Class2-Subtype-II-A	C1Y38_RS06685	C1Y38_RS06700	C1Y38_RS06685,C1Y38_RS06690,C1Y38_RS06695,C1Y38_RS06700	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
DTK66_CAS_Class2-Subtype-II-A_18	CasFinder	CAS_Class2-Subtype-II-A	DTK66_RS06665	DTK66_RS06680	DTK66_RS06665,DTK66_RS06670,DTK66_RS06675,DTK66_RS06680	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
FC85_CAS_Class2-Subtype-II-A_21	CasFinder	CAS_Class2-Subtype-II-A	FC85_RS13840	FC85_RS13855	FC85_RS13840,FC85_RS13845,FC85_RS13850,FC85_RS13855	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
I5Q80_CAS_Class2-Subtype-II-A_24	CasFinder	CAS_Class2-Subtype-II-A	I5Q80_RS09130	I5Q80_RS09145	I5Q80_RS09130,I5Q80_RS09135,I5Q80_RS09140,I5Q80_RS09145	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
I6U31_CAS_Class2-Subtype-II-A_29	CasFinder	CAS_Class2-Subtype-II-A	I6U31_RS06360	I6U31_RS06390	I6U31_RS06360,I6U31_RS06365,I6U31_RS06370,I6U31_RS06390	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
IV45_CAS_Class2-Subtype-II-A_50	CasFinder	CAS_Class2-Subtype-II-A	IV45_RS07785	IV45_RS05340	IV45_RS07785,IV45_RS05340	2	csn2_II-A_6,cas9_II-A_1
JIO03_CAS_Class2-Subtype-II-A_32	CasFinder	CAS_Class2-Subtype-II-A	JIO03_RS04145	JIO03_RS04175	JIO03_RS04145,JIO03_RS04165,JIO03_RS04170,JIO03_RS04175	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
LFER_CAS_Class2-Subtype-II-A_35	CasFinder	CAS_Class2-Subtype-II-A	LFER_RS09520	LFER_RS09535	LFER_RS09520,LFER_RS09525,LFER_RS09530,LFER_RS09535	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
LKE14_CAS_Class2-Subtype-II-A_38	CasFinder	CAS_Class2-Subtype-II-A	LKE14_RS08935	LKE14_RS08950	LKE14_RS08935,LKE14_RS08940,LKE14_RS08945,LKE14_RS08950	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
LMUP508_CAS_Class2-Subtype-II-A_41	CasFinder	CAS_Class2-Subtype-II-A	LMUP508_RS07570	LMUP508_RS07585	LMUP508_RS07570,LMUP508_RS07575,LMUP508_RS07580,LMUP508_RS07585	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
Q3978_CAS_Class2-Subtype-II-A_44	CasFinder	CAS_Class2-Subtype-II-A	Q3978_02110	Q3978_02125	Q3978_02110,Q3978_02115,Q3978_02120,Q3978_02125	4	cas9_II-A_1,cas1_I_II_III_IV_V_VI_5,cas2_I_II_III_IV_V_VI_11,csn2_II-A_6
QOR70_CAS_Class2-Subtype-II-A_47	CasFinder	CAS_Class2-Subtype-II-A	QOR70_RS04775	QOR70_RS04790	QOR70_RS04775,QOR70_RS04780,QOR70_RS04785,QOR70_RS04790	4	csn2_II-A_6,cas2_I_II_III_IV_V_VI_11,cas1_I_II_III_IV_V_VI_5,cas9_II-A_1
