hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
AOQ57_RS03915	AOQ57	30	223	csn2_II-A_6	6.900e-71	233.100	1.000	0.987	2	221
AOQ57_RS03920	AOQ57	31	101	cas2_I_II_III_IV_V_VI_11	1.100e-54	177.700	1.000	1.000	1	101
AOQ57_RS03920	AOQ57	31	101	cas2_I_II_III_IV_V_VI_1	1.500e-23	77.800	0.956	0.901	1	91
AOQ57_RS03920	AOQ57	31	101	cas2_I_II_III_IV_V_VI_6	4.500e-34	112.000	0.871	0.980	1	99
AOQ57_RS03920	AOQ57	31	101	cas2_I_II_III_IV_V_VI_13	4.300e-20	66.500	1.000	0.762	1	77
AOQ57_RS03925	AOQ57	32	301	cas1_I_II_III_IV_V_VI_5	2.000e-80	264.600	0.996	0.890	3	270
AOQ57_RS03925	AOQ57	32	301	cas1_I_II_III_IV_V_VI_1	1.600e-46	153.500	0.773	0.741	5	227
AOQ57_RS03925	AOQ57	32	301	cas1_I_II_III_IV_V_VI_2	4.400e-26	86.400	0.935	0.728	7	225
AOQ57_RS03925	AOQ57	32	301	cas1_I_II_III_IV_V_VI_8	3.400e-43	142.600	0.741	0.744	1	224
AOQ57_RS03925	AOQ57	32	301	cas1_I_II_III_IV_V_VI_10	3.000e-30	100.100	0.862	0.734	7	227
AOQ57_RS03930	AOQ57	33	1369	cas9_II-A_1	0.000e+00	1695.700	0.996	0.999	2	1368
AOQ57_RS03930	AOQ57	33	1369	cas9_II-C_4	1.300e-21	71.700	0.618	0.267	3	367
AOQ57_RS03930	AOQ57	33	1369	cas9_II-A_II-B_II-C_1	6.500e-172	568.600	0.968	0.760	3	1043
AOQ57_RS03930	AOQ57	33	1369	cas9_II-A_II-B_II-C_3	4.000e-124	410.500	0.960	0.967	2	1325
AOQ57_RS03970	AOQ57	40	390	Dnd__DndA	4.300e-104	343.200	0.987	0.954	5	376
BEP11_RS01340	BEP11	212	397	cas12f1_V-F_3	3.300e-37	123.200	0.888	0.929	6	374
BEP11_RS01355	BEP11	215	223	csn2_II-A_6	2.600e-78	257.400	1.000	0.987	2	221
BEP11_RS01360	BEP11	216	101	cas2_I_II_III_IV_V_VI_11	6.500e-54	175.200	1.000	1.000	1	101
BEP11_RS01360	BEP11	216	101	cas2_I_II_III_IV_V_VI_1	1.900e-22	74.300	0.933	0.881	1	89
BEP11_RS01360	BEP11	216	101	cas2_I_II_III_IV_V_VI_6	6.600e-34	111.400	0.871	0.980	1	99
BEP11_RS01360	BEP11	216	101	cas2_I_II_III_IV_V_VI_13	1.200e-18	61.900	1.000	0.762	1	77
BEP11_RS01365	BEP11	217	281	cas1_I_II_III_IV_V_VI_5	9.600e-75	246.000	0.931	0.890	1	250
BEP11_RS01365	BEP11	217	281	cas1_I_II_III_IV_V_VI_1	5.900e-42	138.500	0.716	0.733	2	207
BEP11_RS01365	BEP11	217	281	cas1_I_II_III_IV_V_VI_2	1.200e-24	81.700	0.877	0.730	2	206
BEP11_RS01365	BEP11	217	281	cas1_I_II_III_IV_V_VI_8	1.300e-36	121.000	0.689	0.737	2	208
BEP11_RS01365	BEP11	217	281	cas1_I_II_III_IV_V_VI_10	6.600e-27	89.100	0.809	0.733	2	207
BEP11_RS01380	BEP11	219	1191	cas9_II-A_1	0.000e+00	1662.700	0.875	0.999	2	1191
BEP11_RS01380	BEP11	219	1191	cas9_II-A_II-B_II-C_1	3.100e-141	467.100	0.789	0.594	148	855
BEP11_RS01380	BEP11	219	1191	cas9_II-A_II-B_II-C_3	1.000e-98	326.400	0.787	0.804	166	1122
BEP11_RS01420	BEP11	226	416	cas12f2_V-F_1	3.800e-41	135.900	0.507	0.644	144	411
BGV76_01750	BGV76	320	390	Dnd__DndA	5.700e-103	339.500	0.987	0.954	5	376
BGV76_01760	BGV76	321	416	cas12f2_V-F_1	4.800e-40	132.300	0.484	0.649	142	411
BGV76_01825	BGV76	334	1378	cas9_II-A_1	0.000e+00	1659.600	0.911	0.898	141	1378
BGV76_01825	BGV76	334	1378	cas9_II-C_4	1.400e-24	81.500	0.602	0.260	5	362
BGV76_01825	BGV76	334	1378	cas9_II-A_II-B_II-C_1	4.900e-176	582.300	0.971	0.755	6	1045
BGV76_01825	BGV76	334	1378	cas9_II-A_II-B_II-C_3	3.600e-127	420.600	0.814	0.858	5	1186
BGV76_01830	BGV76	335	301	cas1_I_II_III_IV_V_VI_5	1.600e-78	258.400	0.996	0.890	3	270
BGV76_01830	BGV76	335	301	cas1_I_II_III_IV_V_VI_1	2.600e-43	143.000	0.770	0.738	6	227
BGV76_01830	BGV76	335	301	cas1_I_II_III_IV_V_VI_2	1.700e-25	84.500	0.915	0.714	12	226
BGV76_01830	BGV76	335	301	cas1_I_II_III_IV_V_VI_8	5.100e-41	135.500	0.750	0.754	1	227
BGV76_01830	BGV76	335	301	cas1_I_II_III_IV_V_VI_10	3.100e-28	93.500	0.862	0.734	7	227
BGV76_01835	BGV76	336	101	cas2_I_II_III_IV_V_VI_11	9.200e-55	177.900	1.000	1.000	1	101
BGV76_01835	BGV76	336	101	cas2_I_II_III_IV_V_VI_1	7.700e-23	75.500	0.933	0.881	1	89
BGV76_01835	BGV76	336	101	cas2_I_II_III_IV_V_VI_6	1.400e-34	113.600	0.871	0.980	1	99
BGV76_01835	BGV76	336	101	cas2_I_II_III_IV_V_VI_13	3.500e-19	63.600	1.000	0.762	1	77
BGV76_01840	BGV76	337	223	csn2_II-A_6	1.200e-77	255.200	1.000	0.987	2	221
BGV76_01905	BGV76	348	416	cas12f2_V-F_1	1.300e-38	127.500	0.453	0.560	179	411
C1Y38_RS06685	C1Y38	428	1378	cas9_II-A_1	0.000e+00	1765.500	0.911	0.901	138	1378
C1Y38_RS06685	C1Y38	428	1378	cas9_II-C_4	7.200e-25	82.500	0.600	0.259	3	359
C1Y38_RS06685	C1Y38	428	1378	cas9_II-A_II-B_II-C_1	4.800e-179	592.200	0.971	0.755	3	1042
C1Y38_RS06685	C1Y38	428	1378	cas9_II-A_II-B_II-C_3	3.800e-131	433.800	0.943	0.941	2	1298
C1Y38_RS06690	C1Y38	429	301	cas1_I_II_III_IV_V_VI_5	5.900e-79	259.800	0.996	0.890	3	270
C1Y38_RS06690	C1Y38	429	301	cas1_I_II_III_IV_V_VI_1	1.100e-43	144.300	0.770	0.738	6	227
C1Y38_RS06690	C1Y38	429	301	cas1_I_II_III_IV_V_VI_2	7.000e-26	85.700	0.915	0.714	12	226
C1Y38_RS06690	C1Y38	429	301	cas1_I_II_III_IV_V_VI_8	1.600e-41	137.100	0.750	0.754	1	227
C1Y38_RS06690	C1Y38	429	301	cas1_I_II_III_IV_V_VI_10	1.200e-28	94.800	0.862	0.734	7	227
C1Y38_RS06695	C1Y38	430	101	cas2_I_II_III_IV_V_VI_11	3.800e-54	176.000	1.000	1.000	1	101
C1Y38_RS06695	C1Y38	430	101	cas2_I_II_III_IV_V_VI_1	5.600e-23	76.000	0.933	0.881	1	89
C1Y38_RS06695	C1Y38	430	101	cas2_I_II_III_IV_V_VI_6	1.500e-34	113.500	0.871	0.980	1	99
C1Y38_RS06695	C1Y38	430	101	cas2_I_II_III_IV_V_VI_13	4.900e-19	63.100	1.000	0.762	1	77
C1Y38_RS06700	C1Y38	431	223	csn2_II-A_6	5.600e-78	256.300	1.000	0.987	2	221
C1Y38_RS06745	C1Y38	438	383	PD-T7-2__PD-T7-2_B	3.300e-33	109.500	0.598	0.872	11	344
DTK66_RS06665	DTK66	85	223	csn2_II-A_6	3.300e-77	253.800	1.000	0.987	2	221
DTK66_RS06670	DTK66	86	101	cas2_I_II_III_IV_V_VI_11	2.000e-55	180.100	1.000	1.000	1	101
DTK66_RS06670	DTK66	86	101	cas2_I_II_III_IV_V_VI_1	2.100e-22	74.100	0.956	0.881	1	89
DTK66_RS06670	DTK66	86	101	cas2_I_II_III_IV_V_VI_6	5.600e-33	108.400	0.759	0.871	1	88
DTK66_RS06670	DTK66	86	101	cas2_I_II_III_IV_V_VI_13	5.600e-18	59.700	1.000	0.762	1	77
DTK66_RS06675	DTK66	87	302	cas1_I_II_III_IV_V_VI_5	1.600e-87	287.900	0.996	0.891	3	271
DTK66_RS06675	DTK66	87	302	cas1_I_II_III_IV_V_VI_1	7.700e-47	154.600	0.975	0.884	5	271
DTK66_RS06675	DTK66	87	302	cas1_I_II_III_IV_V_VI_2	4.000e-28	93.100	0.950	0.742	7	230
DTK66_RS06675	DTK66	87	302	cas1_I_II_III_IV_V_VI_8	5.900e-45	148.500	0.756	0.762	1	230
DTK66_RS06675	DTK66	87	302	cas1_I_II_III_IV_V_VI_10	1.600e-29	97.700	0.866	0.738	7	229
DTK66_RS06680	DTK66	88	1376	cas9_II-A_1	0.000e+00	1988.500	0.996	0.993	4	1370
DTK66_RS06680	DTK66	88	1376	cas9_II-C_4	1.100e-43	144.600	0.967	0.993	3	1369
DTK66_RS06680	DTK66	88	1376	cas9_II-A_II-B_II-C_1	1.400e-167	554.300	0.985	0.745	5	1029
DTK66_RS06680	DTK66	88	1376	cas9_II-A_II-B_II-C_3	2.900e-119	394.400	0.818	0.826	4	1140
FC85_RS13805	FC85	402	1045	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	7.600e-21	68.600	0.847	0.825	6	867
FC85_RS13805	FC85	402	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	9.100e-07	23.000	0.471	0.291	712	1015
FC85_RS13805	FC85	402	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	7.800e-08	26.500	0.542	0.373	372	761
FC85_RS13805	FC85	402	1045	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.400e-13	45.400	0.769	0.478	4	503
FC85_RS13840	FC85	409	1363	cas9_II-A_1	0.000e+00	2118.600	0.996	0.998	4	1363
FC85_RS13840	FC85	409	1363	cas9_II-C_4	8.700e-40	131.700	0.965	0.996	4	1361
FC85_RS13840	FC85	409	1363	cas9_II-A_II-B_II-C_1	5.400e-178	588.700	0.971	0.747	4	1021
FC85_RS13840	FC85	409	1363	cas9_II-A_II-B_II-C_3	1.100e-135	448.800	0.814	0.829	2	1131
FC85_RS13845	FC85	410	301	cas1_I_II_III_IV_V_VI_5	2.100e-88	290.800	0.996	0.890	3	270
