replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
QOR70	QOR70_RS04815	CBASS__Effector_2TM_SUa-2TM	152	defense-finder-models/DefenseFinder_5/CBASS/CBASS_II	QOR70_CBASS_II_3	1	1	1.000	3.000	1	CBASS__Effector_2TM_S_2TMBeta	mandatory	294	8.6e-22	72.500	0.946	0.935	19	293		QOR70_CBASS_1,QOR70_CBASS_I_2
QOR70	QOR70_RS04820	CBASS__E2	153	defense-finder-models/DefenseFinder_5/CBASS/CBASS_II	QOR70_CBASS_II_3	1	1	1.000	3.000	1	CBASS__E2	mandatory	137	9e-26	85.700	0.690	0.891	16	137		QOR70_CBASS_1
QOR70	QOR70_RS04825	CBASS__Cyclase_II	154	defense-finder-models/DefenseFinder_5/CBASS/CBASS_II	QOR70_CBASS_II_3	1	1	1.000	3.000	1	CBASS__Cyclase_SMODS	mandatory	368	4.8e-47	155.400	0.944	0.894	14	342		QOR70_CBASS_1,QOR70_CBASS_I_2
AOQ57	AOQ57_RS03915	csn2_II-A_6	30	CasFinder/CAS_Class2-Subtype-II-A	AOQ57_CAS_Class2-Subtype-II-A_4	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	6.9e-71	233.100	1.000	0.987	2	221		AOQ57_CAS_Class2-Type-II_5,AOQ57_CAS_Cluster_6
AOQ57	AOQ57_RS03920	cas2_I_II_III_IV_V_VI_11	31	CasFinder/CAS_Class2-Subtype-II-A	AOQ57_CAS_Class2-Subtype-II-A_4	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	1.1e-54	177.700	1.000	1.000	1	101		AOQ57_CAS_Class2-Type-II_5,AOQ57_CAS_Cluster_6
AOQ57	AOQ57_RS03925	cas1_I_II_III_IV_V_VI_5	32	CasFinder/CAS_Class2-Subtype-II-A	AOQ57_CAS_Class2-Subtype-II-A_4	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	301	2e-80	264.600	0.996	0.890	3	270		AOQ57_CAS_Class2-Type-II_5,AOQ57_CAS_Cluster_6
AOQ57	AOQ57_RS03930	cas9_II-A_1	33	CasFinder/CAS_Class2-Subtype-II-A	AOQ57_CAS_Class2-Subtype-II-A_4	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1369	0.0	1695.700	0.996	0.999	2	1368		AOQ57_CAS_Class2-Type-II_5,AOQ57_CAS_Cluster_6
BEP11	BEP11_RS01355	csn2_II-A_6	215	CasFinder/CAS_Class2-Subtype-II-A	BEP11_CAS_Class2-Subtype-II-A_7	1	1	1.000	4.000	1	csn2_II-A_4	mandatory	223	2.6e-78	257.400	1.000	0.987	2	221		BEP11_CAS_Class2-Type-II_9,BEP11_CAS_Cluster_11
BEP11	BEP11_RS01360	cas2_I_II_III_IV_V_VI_11	216	CasFinder/CAS_Class2-Subtype-II-A	BEP11_CAS_Class2-Subtype-II-A_7	1	1	1.000	4.000	1	cas2_I_II_III_IV_V_VI_6	accessory	101	6.5e-54	175.200	1.000	1.000	1	101		BEP11_CAS_Class2-Subtype-V-F_8,BEP11_CAS_Class2-Type-II_9,BEP11_CAS_Class2-Type-V_10,BEP11_CAS_Cluster_11
BEP11	BEP11_RS01365	cas1_I_II_III_IV_V_VI_5	217	CasFinder/CAS_Class2-Subtype-II-A	BEP11_CAS_Class2-Subtype-II-A_7	1	1	1.000	4.000	1	cas1_I_II_III_IV_V_VI_5	accessory	281	9.6e-75	246.000	0.931	0.890	1	250		BEP11_CAS_Class2-Subtype-V-F_8,BEP11_CAS_Class2-Type-II_9,BEP11_CAS_Class2-Type-V_10,BEP11_CAS_Cluster_11
BEP11	BEP11_RS01380	cas9_II-A_1	219	CasFinder/CAS_Class2-Subtype-II-A	BEP11_CAS_Class2-Subtype-II-A_7	1	1	1.000	4.000	1	cas9_II-A_1	mandatory	1191	0.0	1662.700	0.875	0.999	2	1191		BEP11_CAS_Class2-Type-II_9,BEP11_CAS_Cluster_11
